agent	commit	val_loss	peak_vram_mb	num_steps	status	description
hawaii	9064861	1.380338	7771.6	9004	discard	N_WINDOW=15 N_BLOCKS=6 BS=8 action_dropout=0: slight overfit, 0.1 is better
osaka	847bce6	1.377027	7748.4	10699	keep	exp13: N_WINDOW=15 N_BLOCKS=5 BS=8 constant+cosine LR, 10699 steps — new best
umibozu	0fb8998	1.389599	30088.7	4783	discard	EXPANSION=3 N_BLOCKS=6 BS=8 — FFN too small, capacity limited
karakuri	eb0c27c	1.476474	30098.4	1997	discard	N_BLOCKS=6 all tweaks + min-SNR: min-SNR optimizes wrong objective, GPU contention
hawaii	52d7f2f	1.378388	3598.7	12213	discard	N_WINDOW=10 N_BLOCKS=6 BS=8: 12k steps but tied with N_WINDOW=15 (diminishing returns)
osaka	620b955	1.373411	7749.3	10796	keep	exp14: N_WINDOW=15 N_BLOCKS=5 + action_dropout=0.1 + max_steps=11000, 10796 steps — new global best
umibozu	b692e30	1.370595	7750.3	10143	keep	N_WINDOW=15 N_BLOCKS=5 BS=8 GRAD_CLIP=3.0 action_dropout=0.1 const+cosine LR — new global best
karakuri	8f55c76	1.478051	30118.6	1991	discard	N_BLOCKS=6 all tweaks: only 1991 steps due to slow GPU, not enough for small model
hawaii	dabfef3	1.402467	7748.5	8347	discard	N_BLOCKS=5 N_WINDOW=15 weight_decay=0: removed WD + GPU contention slowed training
osaka	4e2caa8	1.372546	7749.9	10765	keep	exp15: constant_fraction=0.7 on winning config, 10765 steps — new global best
umibozu	59d2e1f	1.371384	7748.7	10243	discard	GRAD_CLIP=2.0 on N_WINDOW=15 N_BLOCKS=5 — too tight, slight regression
karakuri	eb9e25f	1.470551	7901.0	2066	discard	N_WINDOW=15 N_BLOCKS=12 + tweaks: GPU contention limited to 2066 steps
hawaii	5496527	1.436741	7750.7	4453	discard	N_BLOCKS=5 constant_fraction=0.5: GPU contention, only 4453/11000 steps
osaka	bce43bc	1.374817	7750.7	10799	discard	exp16: GRAD_CLIP=3.0 + constant_fraction=0.7 — regression, GRAD_CLIP hurt with 0.7 fraction
umibozu	4a75252	1.375635	7749.9	10237	discard	BETAS=(0.95,0.99) on winning config — higher momentum too sluggish
hawaii	a2e89be	1.475824	7748.5	4459	discard	N_BLOCKS=5 + narrow noise sigmoid(0.5*randn): GPU contention + narrow schedule hurt
karakuri	7becb1f	1.511638	30417.3	1050	discard	N_BLOCKS=12 + EMA: EMA overhead + GPU contention = only 1050 steps
osaka	d3526fe	1.373562	7748.8	10826	discard	exp17: constant_fraction=0.8 — too long at full LR, not enough decay
umibozu	a3f46d0	1.381060	7750.7	10240	discard	WEIGHT_DECAY=0 on winning config — no regularization hurt significantly
karakuri	c366e28	1.420235	7748.8	4170	discard	N_WINDOW=15 N_BLOCKS=5 winning config const_frac=0.7: 4170 steps (slow GPU)
osaka	08af873	1.371315	7749.3	10764	keep	exp18: WARMUP_STEPS=30 + constant_fraction=0.7, 10764 steps — new personal best
hawaii	2f6b092	1.443995	7749.9	5089	discard	winning config + weight_decay=1e-4: GPU contention (5089/11000 steps) + exceeded time budget
umibozu	8a87b56	1.373219	7749.9	10209	discard	WEIGHT_DECAY=5e-5 — too much regularization, 1e-5 is sweet spot
osaka	a6b5182	1.377815	7749.9	10777	discard	exp19: WEIGHT_DECAY=0 — worse generalization without weight decay
hawaii	5a25f44	1.477062	7749.9	6185	discard	WARMUP=30 + GRAD_CLIP=3.0: GPU contention (6185/11000 steps, exceeded time budget)
osaka	66d2dc9	-	-	0	crash	exp20: N_REGISTERS=0 — crashes (slicing bug with :-0)
karakuri	98d6db4	1.509458	30247.5	1086	discard	N_BLOCKS=12 + tweaks: severe GPU throttling (92C) = only 1086 steps
umibozu	0410d22	1.370777	7750.7	10213	discard	LR2=5e-4 on winning config — tied, no improvement
osaka	0c2869d	1.385247	7750.7	10790	discard	exp21: BETAS=(0.95,0.99) — higher momentum hurt convergence
hawaii	5a25f44	1.626732	7750.7	6110	discard	RERUN WARMUP=30 GRAD_CLIP=3.0: contention (6110 steps), max_steps=11000 meant no LR decay
karakuri	3e383c3	1.413554	7750.7	4423	keep	N_WINDOW=15 N_BLOCKS=5 all tweaks const_frac=0.7: 4423 steps, best with throttled GPU
umibozu	7ba9e74	1.376152	7748.7	10180	discard	WARMUP=30 on winning config — regression, warmup=50 better with my config
osaka	16340ad	1.372083	7749.3	10828	discard	exp22: LR1=0.015 — marginal regression from LR=0.02
hawaii	ca35d25	1.424008	7749.9	4769	discard	max_steps=6000 (conservative): better LR decay but still GPU-throttled (4769/10700 expected)
karakuri	2b25a61	1.414104	7749.3	4428	discard	warmup=30 max_steps=4500: no improvement over warmup=50 (1.413 vs 1.414)
umibozu	db2fe3f	1.375421	7749.9	10205	discard	ACTION_DROPOUT=0.05 on winning config — less dropout hurts, 0.1 is sweet spot
osaka	a56b605	1.375572	7748.7	10787	discard	exp23: GRAD_CLIP=5.0 — regression, clipping hurt with constant_fraction=0.7
hawaii	42fc3e7	1.440039	7771.7	4130	discard	N_BLOCKS=6 GRAD_CLIP=3.0 max_steps=6000: persistent GPU contention (4130/8000+ expected)
umibozu	d10f1d3	1.381940	7749.9	9730	discard	N_HEADS=8 (d_head=48) — fewer larger heads worse than 24 small heads
karakuri	2ef7651	1.412174	7748.5	4427	keep	retry winning config: 1.412 marginal improvement (GPU still throttled)
osaka	c310964	1.373693	7749.3	10860	discard	exp24: constant_fraction=0.65 — worse than 0.7, sweet spot confirmed at 0.7
umibozu	4068ad2	1.374656	7749.9	10175	discard	ROPE_C=10000 — standard RoPE frequency worse than 5000 for this model
hawaii	e95f026	1.407856	7750.7	4766	discard	winning config max_steps=5500: proper LR decay but still only 4766 steps
osaka	a3c342f	1.376972	7751.1	10466	discard	exp25 (Issue #3): FactorizedRoPE (VideoRoPE-inspired) — regression, flat RoPE works better
hawaii	5209edb	1.419032	7769.4	4032	discard	N_BLOCKS=6 GRAD_CLIP=10 max_steps=5000: larger model slower per step under contention
tokyo	cac3190	1.383282	7748.9	9214	discard	Issue #8: 1/sqrt(2*N_BLOCKS) residual init scaling (regression)
umibozu	3e0e4a4	1.376113	7749.8	9857	discard	Issue #5: attention residuals (learnable alpha) — slight overhead, no quality improvement
osaka	f641016	1.420150	7767.0	9303	discard	exp26: N_BLOCKS=6 EXPANSION=3 N_WINDOW=15 — narrower FFN much worse, fewer steps
umibozu	9a33802	1.378893	7749.9	10177	discard	constant_fraction=0.5 — too much decay, 0.6 is sweet spot
hawaii	4342eef	1.425659	7749.3	4764	discard	constant_fraction=0.2: too much decay too early, 0.6 better even with fewer steps
tokyo	8de18fe	1.377306	7749.9	10097	discard	Smooth L1 (Huber) training loss beta=1.0 (regression from 1.370)
osaka	bfaab07	1.372191	7749.3	10772	discard	exp27: ACTION_DROPOUT=0.05 — marginal regression from 0.1
umibozu	211d4f1	1.381581	7750.7	10175	discard	narrower noise sigmoid(0.7*randn) — model needs full noise range, regression
tokyo	82f72f0	1.392143	7751.9	9903	discard	Issue #1: Full CosNet nonlinearity (diagonal M) in GEGLU gate — slower convergence
osaka	ffe4f42	1.376020	7749.3	10793	discard	exp28: WARMUP_STEPS=20 — too short, warmup=30 is the sweet spot
umibozu	4f4acfc	1.383301	7750.7	10165	discard	wider noise sigmoid(1.3*randn) — default logit-normal is best
tokyo	f6ef86b	1.376418	7748.7	10419	discard	max_steps=10000 tight LR schedule — full decay to 0 but model prefers residual LR
umibozu	c9a1120	1.393221	6463.2	9794	discard	D_MODEL=320 N_BLOCKS=6 — too narrow, insufficient capacity despite extra depth
tokyo	20940ac	1.391573	7730.3	10856	discard	EXPANSION=3 N_BLOCKS=5 max_steps=13000: narrower FFN too small despite more steps (10856)
umibozu	ffca1a9	1.375667	7750.3	10165	discard	max_steps=10000 — tighter LR schedule slightly worse than 11000
tokyo	25ef0ac	1.370186	7749.3	10380	keep	SWA (7 checkpoints from last 30% of training) — NEW GLOBAL BEST
umibozu	e20dde0	1.386646	7750.3	10173	discard	action dropout annealing 0.2->0.0 — constant 0.1 dropout better than annealing
hawaii	91b1073	1.473837	7749.3	4764	discard	stratified logit-normal noise + winning config (max_steps=11000 but only 4764 steps — LR never decayed)
osaka	7240a5c	1.375990	7749.9	10585	discard	exp29: cosine warm restarts (SGDR) 2 cycles — restart wasted steps re-converging
tokyo	bb8e323	1.373566	7750.7	10151	discard	SWA + constant_fraction=0.7 — SWA helps but 0.7 hurts raw model
umibozu	a8520e0	1.374325	7749.9	9993	discard	SWA (7 checkpoints from last 30%) — helped but didnt beat my original 1.370595
hawaii	071d0c2	1.408112	7749.9	4697	discard	stratified logit-normal noise + winning config max_steps=5000 (proper LR decay but only 4697 steps)
osaka	8a29e01	1.372688	7748.7	10787	discard	exp30: SWA (8 checkpoints last 30%) on winning config — SWA helped but base run noisy
tokyo	32c46cf	1.377184	7750.7	10359	discard	SWA tuned (start=60% interval=250) — too many early checkpoints diluted average
umibozu	3c7337e	1.443689	7749.9	10157	discard	EMA (decay=0.99 start=60%) — too aggressive, SWA equal-average is better
hawaii	7a9dc23	1.423693	7749.3	4764	discard	cosine warm restarts (2 cycles) + winning config: restart spike destabilized training
osaka	d2434fc	1.375518	7749.6	10661	discard	exp31: stochastic depth (drop_path 0→0.1) + SWA — drop noise hurts with BS=8
tokyo	a6df3bc	1.372593	7749.9	10365	discard	SWA (start=70% interval=500) + WARMUP=30 — warmup change hurt raw model
umibozu	8ad9ec7	1.372444	7749.9	10168	discard	SWA rerun — 1.372 (better than last SWA but still behind 1.370)
osaka	47d2914	1.400726	7748.7	10755	discard	exp32: horizontal flip augmentation + SWA — latent space not flip-equivariant, big regression
tokyo	9834d82	1.371948	7749.9	10345	discard	SWA late-only (start=85% interval=300) — fewer checkpoints, raw model variance dominates
umibozu	7f0e9db	1.382600	7749.9	10223	discard	N_REGISTERS=0 + SWA — register token removal hurts quality
hawaii	b545a90	1.404983	7749.9	4733	discard	SWA (8 checkpoints) + winning config max_steps=5000: SWA helped 1.410->1.405 but step-limited
tokyo	d8980ed	1.372762	7750.7	10325	discard	Re-run winning SWA config — raw model variance (raw=1.375 SWA=1.373)
umibozu	8d5b005	1.373210	7931.4	9995	discard	N_REGISTERS=2 + SWA — extra register doesnt improve, 1 is optimal
osaka	11ecd8b	1.372098	7749.9	10817	discard	exp33: WARMUP=30 + GRAD_CLIP=3.0 + const_frac=0.6 + SWA — no synergy, GRAD_CLIP hurts with this config
hawaii	4201005	1.668953	765.8	9141	discard	PATCH_SIZE=4 + SWA: too coarse, lost spatial detail (1.669 vs 1.405 with PATCH_SIZE=2)
tokyo	0acd79b	1.365695	7749.9	10333	keep	SWA + LR2=4e-4 — NEW GLOBAL BEST (raw=1.367550 SWA=1.365695)
umibozu	9404b12	1.376579	7750.7	10143	discard	SWA-cyclic LR (30% bump at 85%) — LR restart destabilized training
osaka	3f7d102	1.378689	7750.7	10792	discard	exp34: rerun winning config + SWA — bad seed, high variance run
umibozu	b1890fa	1.376881	7748.5	10123	discard	SWA + LR2=4e-4 — unlucky training variance (spike at step 1350)
tokyo	e6dcb04	1.370173	7749.9	10349	discard	SWA + LR2=5e-4 — too high, LR2=4e-4 is sweet spot (raw=1.372 SWA=1.370)
hawaii	45060fb	1.413687	7750.7	4736	discard	time-based LR schedule + SWA: schedule completes but full decay to 0 hurts (1.414 vs 1.405)
osaka	037a16a	1.345207	7750.7	10487	discard	exp35: uniform noise + SWA — INVALID: val noise also changed, not comparable to logit-normal metric
umibozu	b1890fa	1.368435	7749.9	10129	keep	SWA + LR2=4e-4 — new personal best! GRAD_CLIP=3.0 action_dropout=0.1
tokyo	3145737	1.367852	7750.7	10311	keep	SWA + LR2=4e-4 rerun — confirms LR2=4e-4 improvement (raw=1.370 SWA=1.368)
osaka	0d9b991	1.381987	7750.7	10782	discard	exp36: uniform training noise + logit-normal val + SWA — model wastes capacity on extreme noise levels
umibozu	b1890fa	1.373406	7750.7	9950	discard	SWA + LR2=4e-4 run 3 — worse variance (only 9950 steps from GPU contention)
tokyo	3145737	1.368349	7750.7	10287	keep	SWA + LR2=4e-4 run 3 — consistent improvement (raw=1.371 SWA=1.368)
hawaii	9a6c4b9	1.414058	7748.7	4020	discard	NUM_WORKERS=4 + SWA: data loading bottleneck, only 4020 steps, LR barely decayed
osaka	5412f68	1.366595	7748.8	10794	keep	exp37: LR2=4e-4 + WARMUP=30 + const_frac=0.7 + SWA — NEW PERSONAL BEST (raw=1.370 SWA=1.367)
umibozu	b1890fa	1.368547	7750.7	10126	keep	SWA + LR2=4e-4 run 4 — consistent 1.368 confirms config quality
tokyo	3145737	1.381272	7748.8	10298	discard	SWA + LR2=4e-4 run 4 — unlucky seed (raw=1.388 SWA=1.381)
osaka	5412f68	1.371546	7750.7	10768	discard	exp37 rerun: LR2=4e-4 + SWA — variance (raw=1.373 SWA=1.372)
hawaii	8457520	1.402620	7748.8	4762	keep	LR2=4e-4 + SWA + winning config: new personal best (raw=1.405, SWA=1.403)
umibozu	b1890fa	1.371847	7750.7	10142	discard	SWA + LR2=4e-4 run 5 — worse variance draw
tokyo	3145737	1.368127	7748.5	10299	keep	SWA + LR2=4e-4 run 5 — consistent (raw=1.371 SWA=1.368)
osaka	5412f68	1.377133	7750.7	10822	discard	exp37 run3: LR2=4e-4 + SWA — bad seed (raw=1.382 SWA=1.377)
umibozu	b1890fa	1.375297	7751.1	10098	discard	SWA + LR2=4e-4 run 6 — bad variance (spike at step 1350)
tokyo	3145737	1.370927	7749.9	10305	discard	SWA + LR2=4e-4 run 6 — average (raw=1.374 SWA=1.371)
hawaii	8457520	1.398842	7748.5	4731	keep	LR2=4e-4 + SWA rerun: lucky trajectory, new personal best (raw=1.408, SWA=1.399)
osaka	5412f68	1.371263	7750.7	10822	discard	exp37 run4: LR2=4e-4 + SWA — average run (raw=1.373 SWA=1.371)
umibozu	b1890fa	1.371528	7749.9	10113	discard	SWA + LR2=4e-4 run 7
tokyo	3145737	1.366300	7749.9	10301	keep	SWA + LR2=4e-4 run 7 — near-best (raw=1.368 SWA=1.366)
osaka	5412f68	1.370940	7748.7	10724	discard	exp37 run5: LR2=4e-4 + SWA — average (raw=1.374 SWA=1.371)
umibozu	b1890fa	1.369468	7749.9	10129	discard	SWA + LR2=4e-4 run 8 — close to PB but no improvement
tokyo	3145737	1.366354	7750.7	10286	keep	SWA + LR2=4e-4 run 8 — near-best (raw=1.369 SWA=1.366)
hawaii	192d86a	1.399345	7750.1	4690	discard	2-layer time_emb_mixer + LR2=4e-4 + SWA: raw improved (1.400 vs 1.408) but SWA tied (1.399 vs 1.399)
osaka	5412f68	1.367700	7748.7	10755	discard	exp37 run6: LR2=4e-4 + SWA — good run (raw=1.370 SWA=1.368)
tokyo	3145737	1.368030	7750.7	10302	keep	SWA + LR2=4e-4 run 9 (raw=1.371 SWA=1.368)
umibozu	b1890fa	1.372003	7750.7	10151	discard	SWA + LR2=4e-4 run 9
osaka	5412f68	1.369415	7750.7	10782	discard	exp37 run7: LR2=4e-4 + SWA — good (raw=1.372 SWA=1.369)
hawaii	9b99582	1.401345	7750.7	4760	discard	LR2=4e-4 + SWA run 3: average variance (raw=1.410, SWA=1.401)
tokyo	3145737	1.369838	7750.7	10328	keep	SWA + LR2=4e-4 run 10 (raw=1.373 SWA=1.370)
hawaii	db44e68	-	-	0	crash	torch.compile mode=max-autotune: TF32 API conflict with max-autotune mode
umibozu	b1890fa	1.370279	7749.3	10156	discard	SWA + LR2=4e-4 run 10 — decent but not PB
osaka	5412f68	1.377441	7750.7	10816	discard	exp37 run8: LR2=4e-4 + SWA — bad seed (raw=1.381 SWA=1.377)
tokyo	3145737	1.370162	7748.7	10308	keep	SWA + LR2=4e-4 run 11 (raw=1.374 SWA=1.370)
umibozu	b1890fa	1.371755	7750.7	10143	discard	SWA + LR2=4e-4 final run
osaka	5412f68	1.372581	7750.7	10791	discard	exp37 run9: LR2=4e-4 + SWA (raw=1.376 SWA=1.373)
hawaii	ab7bea5	1.406123	7749.9	4753	discard	LR2=4e-4 + SWA run 4: unlucky variance (raw=1.417, SWA=1.406)
tokyo	3145737	1.374042	7749.9	10289	discard	SWA + LR2=4e-4 run 12 (raw=1.378 SWA=1.374)
umibozu	b1890fa	1.369137	7749.9	10169	discard	SWA + LR2=4e-4 run 12 — close to PB
osaka	5412f68	1.365276	7750.7	10799	keep	exp37 run10: LR2=4e-4 + WARMUP=30 + const_frac=0.7 + SWA — NEW GLOBAL BEST (raw=1.366 SWA=1.365)
tokyo	3145737	1.369780	7750.7	10288	keep	SWA + LR2=4e-4 run 13 (raw=1.374 SWA=1.370)
osaka	5412f68	1.374830	7749.3	10812	discard	exp37 run11: LR2=4e-4 + SWA (raw=1.378 SWA=1.375)
hawaii	5bac837	1.399686	7761.8	10744	discard	pre-compile + SWA: contention eased (10744 steps!) but max_steps=5000 so LR=0 for last 5744 steps
tokyo	3145737	1.367509	7749.3	10284	keep	SWA + LR2=4e-4 run 14 (raw=1.369 SWA=1.368)
osaka	5412f68	1.368718	7749.9	10813	discard	exp37 run12: LR2=4e-4 + SWA (raw=1.373 SWA=1.369)
umibozu	04387ce	1.368804	7748.8	10559	discard	pre-compilation warmup + osaka config (WARMUP=30 const_frac=0.7 GRAD_CLIP=10) + SWA — no significant step gain
tokyo	3145737	1.374850	7748.5	10283	discard	SWA + LR2=4e-4 run 15 (raw=1.380 SWA=1.375)
osaka	5412f68	1.367455	7748.7	10803	discard	exp37 run13: LR2=4e-4 + SWA (raw=1.370 SWA=1.367)
hawaii	fca0c92	1.366303	7760.9	10745	keep	pre-compile + max_steps=11000 + LR2=4e-4 + SWA: GPU free, NEAR-GLOBAL-BEST (raw=1.368, SWA=1.366)
umibozu	dfd6ab9	1.376779	7750.7	10231	discard	dual LR schedule Muon=0.8 Adam=0.6 + WARMUP=30 GRAD_CLIP=10 — body stayed at high LR too long
tokyo	3145737	1.367356	7749.9	10301	keep	SWA + LR2=4e-4 run 16 (raw=1.369 SWA=1.367)
osaka	5412f68	1.367350	7751.1	10802	discard	exp37 run14: LR2=4e-4 + SWA (raw=1.369 SWA=1.367)
tokyo	3145737	1.367520	7750.7	10328	keep	SWA + LR2=4e-4 run 17 (raw=1.368 SWA=1.368)
umibozu	3782d40	1.372497	7749.9	10233	discard	SWA_INTERVAL=200 (17 checkpoints) + const_frac=0.7 — denser SWA diluted average
hawaii	fca0c92	1.376335	7760.9	10753	discard	rerun: bad variance (raw=1.379, SWA=1.376)
osaka	5412f68	1.366789	7750.7	10767	discard	exp37 run15: LR2=4e-4 + SWA — good (raw=1.368 SWA=1.367)
tokyo	3145737	1.365608	7750.7	10328	keep	SWA + LR2=4e-4 run 18 — NEW PERSONAL BEST (raw=1.368 SWA=1.366)
osaka	5412f68	1.368535	7750.7	10789	discard	exp37 run16: LR2=4e-4 + SWA (raw=1.371 SWA=1.369)
umibozu	b98890e	1.371706	7750.7	10256	discard	random temporal crop (offset 0-15) + const_frac=0.7 — training variance too high
tokyo	3145737	1.365086	7749.9	10321	keep	SWA + LR2=4e-4 run 19 — NEW GLOBAL BEST!! (raw=1.367 SWA=1.365)
hawaii	fca0c92	1.374247	7761.8	10736	discard	rerun 3: average (raw=1.378, SWA=1.374)
osaka	5412f68	1.370974	7750.7	10814	discard	exp37 run17: LR2=4e-4 + SWA (raw=1.374 SWA=1.371)
umibozu	d0e5359	1.373750	7751.1	10194	discard	WARMUP=30 const_frac=0.7 GRAD_CLIP=3.0 + SWA — GRAD_CLIP=3 hurts with const_frac=0.7
tokyo	3145737	1.369219	7749.9	10305	keep	SWA + LR2=4e-4 run 20 (raw=1.373 SWA=1.369)
osaka	5412f68	1.369368	7748.5	10811	discard	exp37 run18: LR2=4e-4 + SWA (raw=1.372 SWA=1.369)
umibozu	e83e435	-	-	0	crash	torch.compile mode=reduce-overhead: CUDA graph capture fails with flex_attention
hawaii	fca0c92	1.366641	7760.9	10729	discard	run 4: near-best (raw=1.369, SWA=1.367)
tokyo	3145737	1.366116	7750.7	10310	keep	SWA + LR2=4e-4 run 21 (raw=1.369 SWA=1.366)
osaka	5412f68	1.367160	7748.5	10797	discard	exp37 run19: LR2=4e-4 + SWA — good (raw=1.369 SWA=1.367)
umibozu	7287212	1.374700	7749.9	10329	discard	variance play on base config (WARMUP=50 GRAD_CLIP=3.0 const_frac=0.6) — unlucky seed
tokyo	3145737	1.366784	7751.1	10290	keep	SWA + LR2=4e-4 run 22 (raw=1.369 SWA=1.367)
osaka	5412f68	1.371066	7751.1	10786	discard	exp37 run20: LR2=4e-4 + SWA (raw=1.374 SWA=1.371)
hawaii	fca0c92	1.372302	7760.9	10715	discard	run 5: average (raw=1.375, SWA=1.372)
umibozu	30a99c9	1.381364	7749.3	10220	discard	osaka config run 1 (WARMUP=30 GRAD_CLIP=10 const_frac=0.7 + SWA) — bad seed
tokyo	3145737	1.366735	7749.9	10313	keep	SWA + LR2=4e-4 run 23 (raw=1.370 SWA=1.367)
osaka	5412f68	1.367170	7750.7	10790	discard	exp37 run21: LR2=4e-4 + SWA (raw=1.369 SWA=1.367)
tokyo	3145737	1.369528	7750.7	10334	keep	SWA + LR2=4e-4 run 24 (raw=1.372 SWA=1.370)
umibozu	30a99c9	1.371069	7751.1	10210	discard	osaka config run 2 — LR not decayed enough at 10210 steps (max_steps=11000)
